# X, Y1
 -5.13332418e-01 9.42693340e-02
 4.70109626e-01 1.02258902e+00
 9.15301827e-01 9.07929937e-01
 8.94762556e-01 8.94477512e-01
 -9.19112312e-01 5.47893069e-04
 -5.71827748e-01 5.55693396e-02
 -3.39123885e-01 3.18793663e-01
 2.10916164e-01 1.15527352e+00
 -7.73003162e-01 5.33165278e-03
 1.47079355e-01 1.14204273e+00
 5.45530558e-01 9.66702233e-01
 -7.76671659e-02 8.64978086e-01
 -9.75274138e-01 1.98235702e-04
 -1.85564283e-01 6.36055721e-01
 4.84941813e-02 1.06449533e+00
 7.45892520e-01 8.69517260e-01
 6.30775702e-01 9.12678052e-01
 3.81448348e-01 1.08753665e+00
 -2.52854503e-01 4.88952411e-01
 -6.85440648e-01 1.64322341e-02
 -3.12373432e-01 3.68211083e-01
 8.14325036e-02 1.09848078e+00
 -8.39300922e-01 2.02427265e-03
 1.03986257e+00 1.06943931e+00
 4.91856570e-01 1.00612463e+00
